City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,65.89,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Airai,TL,60.24,broken clouds,-8.9266,125.4092,Juvinal Martin
12,Bredasdorp,ZA,62.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
14,Port Alfred,ZA,68.04,overcast clouds,-33.5906,26.891,The Halyards Hotel
15,Altadena,US,68.63,haze,34.1897,-118.1312,The Westin Pasadena
26,Constitucion,CL,60.28,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
37,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
60,Shingu,JP,68.4,scattered clouds,33.7333,135.9833,Shingu UI Hotel
69,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
71,Le Port,RE,69.8,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
82,Ambovombe,MG,65.25,broken clouds,-25.1667,46.0833,RELAHARA
83,San Rafael,AR,67.14,clear sky,-34.6177,-68.3301,Hotel San Rafael
87,Alofi,NU,69.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
88,Thompson,CA,62.76,smoke,55.7435,-97.8558,Burntwood Hotel
89,Cidreira,BR,63.37,scattered clouds,-30.1811,-50.2056,Hotel Castelo
94,Namibe,AO,65.66,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
95,Balloch,GB,65.17,light rain,56.0,-4.5833,Cameron House
104,Bahir Dar,ET,62.24,moderate rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
106,Saint-Philippe,RE,69.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
107,Zunyi,CN,65.3,overcast clouds,27.6867,106.9072,Bishiluo Hostel
108,Iznik,TR,62.35,broken clouds,40.4286,29.7211,Hotel Zeytin Bahcesi
117,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
119,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
124,Port Elizabeth,ZA,69.1,clear sky,-33.918,25.5701,39 On Nile Guest House
134,San Quintin,MX,68.95,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
144,Skibbereen,IE,60.6,light rain,51.55,-9.2667,The West Cork Hotel
149,Alice Springs,AU,63.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
150,Vila,PT,67.75,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
156,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
160,Lagoa,PT,69.15,few clouds,39.05,-27.9833,Casa Das Faias
165,Viedma,AR,67.51,clear sky,-40.8135,-62.9967,Hotel Cristal
167,Margate,GB,63.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
173,Soe,ID,64.71,broken clouds,-9.8607,124.284,Dena Hotel
180,Newport,GB,65.88,overcast clouds,51.5877,-2.9984,ibis budget Newport
182,Sungaipenuh,ID,64.8,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
190,Santa Maria,BR,63.7,clear sky,-29.6842,-53.8069,Hotel Morotin
204,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
205,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
212,Lompoc,US,68.77,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
219,Khandbari,NP,69.35,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
226,Webuye,KE,62.35,moderate rain,0.6075,34.7697,Satellite View Hotel
228,Monticello,US,68.99,overcast clouds,45.3055,-93.7941,Super 8 by Wyndham Monticello
234,Jaca,ES,66.4,scattered clouds,42.569,-0.5499,Hotel Real Jaca & Spa
244,Richards Bay,ZA,67.66,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
263,Lima,PE,66.13,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
270,Belfast,GB,65.12,overcast clouds,54.5833,-5.9333,Wellington Park Hotel
273,Morro Bay,US,65.39,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
285,Torquay,GB,64.58,broken clouds,50.4638,-3.5143,The Grand Hotel
290,Baoning,CN,69.66,clear sky,25.3378,110.026,
294,Guatavita,CO,64.11,scattered clouds,4.9366,-73.8331,La Ruana -Guavativa- Hostel
306,Mercedes,AR,64.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
