City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Touros,BR,-5.1989,-35.4608,86.9,63,83,17.72,broken clouds
1,Haines Junction,CA,60.7522,-137.5108,35.55,75,100,3.44,overcast clouds
2,Hermanus,ZA,-34.4187,19.2345,65.89,69,23,9.04,few clouds
3,Ushuaia,AR,-54.8,-68.3,49.66,43,0,4.61,clear sky
4,Busselton,AU,-33.65,115.3333,53.1,74,90,9.95,overcast clouds
5,Tolmachevo,RU,54.9824,82.7363,39.42,93,75,11.18,broken clouds
6,Airai,TL,-8.9266,125.4092,60.24,77,80,2.35,broken clouds
7,Hithadhoo,MV,-0.6,73.0833,83.34,75,36,11.54,scattered clouds
8,Maragogi,BR,-9.0122,-35.2225,80.22,71,93,9.64,overcast clouds
9,Bethel,US,41.3712,-73.414,73.92,74,40,4.61,scattered clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,78,10.0,broken clouds
11,Tingi,TZ,-11.3,35.0333,70.47,62,70,1.23,broken clouds
12,Bredasdorp,ZA,-34.5322,20.0403,62.28,82,100,4.61,overcast clouds
13,Grand Forks,US,47.9417,-97.4337,73.33,56,1,16.11,clear sky
14,Port Alfred,ZA,-33.5906,26.891,68.04,87,85,31.21,overcast clouds
15,Altadena,US,34.1897,-118.1312,68.63,80,40,1.01,haze
16,Rawson,AR,-43.3002,-65.1023,54.19,63,76,21.3,broken clouds
17,Shuangcheng,CN,45.35,126.2833,40.68,61,10,7.85,clear sky
18,Muros,ES,42.7762,-9.0603,76.14,72,51,7.38,broken clouds
19,Juneau,US,58.3019,-134.4197,41.0,98,90,1.99,moderate rain
20,Omboue,GA,-1.5746,9.2618,77.0,80,96,8.55,overcast clouds
21,Hobart,AU,-42.8794,147.3294,50.25,74,46,5.01,scattered clouds
22,Taggia,IT,43.8485,7.8545,71.74,38,57,5.82,broken clouds
23,Muisne,EC,0.6,-80.0333,84.31,72,99,12.44,overcast clouds
24,Yellowknife,CA,62.456,-114.3525,37.42,100,90,8.05,mist
25,Sakakah,SA,29.9697,40.2064,85.57,19,0,15.79,clear sky
26,Constitucion,CL,-35.3333,-72.4167,60.28,62,0,10.4,clear sky
27,Hilo,US,19.7297,-155.09,72.81,83,75,4.61,broken clouds
28,Atuona,PF,-9.8,-139.0333,77.95,77,36,17.63,scattered clouds
29,Gushikawa,JP,26.3544,127.8686,80.6,80,75,13.8,light rain
30,Bereda,ES,43.2686,-7.5406,75.58,68,42,3.91,scattered clouds
31,Albany,US,42.6001,-73.9662,74.68,74,0,0.76,clear sky
32,Mar Del Plata,AR,-38.0023,-57.5575,53.62,66,0,8.01,clear sky
33,Yeniseysk,RU,58.4497,92.1703,35.65,98,100,7.4,light rain
34,Kodiak,US,57.79,-152.4072,49.51,57,1,4.61,clear sky
35,Carutapera,BR,-1.195,-46.02,87.66,58,96,9.82,overcast clouds
36,Mahebourg,MU,-20.4081,57.7,72.25,88,75,8.05,light intensity shower rain
37,East London,ZA,-33.0153,27.9116,67.14,88,0,13.8,clear sky
38,Severo-Kurilsk,RU,50.6789,156.125,44.62,76,30,18.25,light rain
39,San Cristobal,VE,7.7669,-72.225,84.38,49,80,9.82,broken clouds
40,Punta Arenas,CL,-53.15,-70.9167,50.11,46,0,16.11,clear sky
41,Kupang,ID,-10.1667,123.5833,76.03,86,51,6.93,broken clouds
42,Lubango,AO,-14.9172,13.4925,72.77,26,80,8.7,broken clouds
43,Chokurdakh,RU,70.6333,147.9167,7.59,90,92,5.75,overcast clouds
44,New Norfolk,AU,-42.7826,147.0587,49.91,70,82,1.99,broken clouds
45,Upernavik,GL,72.7868,-56.1549,26.91,47,10,4.34,clear sky
