City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kruisfontein,-34.0033,24.7314,52.88,81,100,13.69,ZA,2021-09-29 21:20:20
1,Mar Del Plata,-38.0023,-57.5575,59.0,52,0,30.0,AR,2021-09-29 21:19:28
2,Saldanha,-33.0117,17.9442,59.05,75,76,14.83,ZA,2021-09-29 21:20:21
3,New Norfolk,-42.7826,147.0587,49.71,70,100,1.72,AU,2021-09-29 21:18:05
4,Saint George,37.1041,-113.5841,77.47,30,1,3.0,US,2021-09-29 21:20:22
5,Atuona,-9.8,-139.0333,77.67,76,42,19.37,PF,2021-09-29 21:20:22
6,Stonewall,50.1344,-97.3268,88.75,29,94,15.75,CA,2021-09-29 21:20:23
7,Ushuaia,-54.8,-68.3,44.26,61,75,16.11,AR,2021-09-29 21:20:23
8,Rikitea,-23.1203,-134.9692,73.27,68,100,17.65,PF,2021-09-29 21:20:23
9,Barrow,71.2906,-156.7887,30.22,80,90,9.22,US,2021-09-29 21:18:02
10,Axim,4.8699,-2.2405,76.6,91,85,5.99,GH,2021-09-29 21:20:25
11,Cape Town,-33.9258,18.4232,60.28,59,0,11.5,ZA,2021-09-29 21:20:25
12,Chokurdakh,70.6333,147.9167,20.66,95,100,5.32,RU,2021-09-29 21:19:39
13,Uray,60.1247,64.7758,31.87,82,15,4.41,RU,2021-09-29 21:20:25
14,Batemans Bay,-35.7167,150.1833,61.99,95,100,3.04,AU,2021-09-29 21:20:25
15,Myitkyina,25.3833,97.4,72.63,98,55,2.68,MM,2021-09-29 21:20:26
16,Srednekolymsk,67.45,153.6833,18.81,95,89,3.62,RU,2021-09-29 21:20:26
17,East London,-33.0153,27.9116,59.5,88,100,16.17,ZA,2021-09-29 21:20:27
18,Garhi Khairo,28.0606,67.9803,89.78,43,8,4.12,PK,2021-09-29 21:20:27
19,Pevek,69.7008,170.3133,27.81,82,100,21.92,RU,2021-09-29 21:20:27
20,Port Hedland,-20.3167,118.5667,60.85,100,13,0.0,AU,2021-09-29 21:20:27
21,Arraial Do Cabo,-22.9661,-42.0278,71.56,88,75,4.61,BR,2021-09-29 21:19:38
22,Muros,42.7762,-9.0603,64.83,83,93,9.48,ES,2021-09-29 21:16:39
23,San Jose,37.3394,-121.895,84.18,28,20,4.0,US,2021-09-29 21:16:03
24,Hermanus,-34.4187,19.2345,56.8,78,93,22.32,ZA,2021-09-29 21:20:30
25,Hailar,49.2,119.7,33.04,75,92,8.08,CN,2021-09-29 21:20:34
26,Columbus,39.9612,-82.9988,79.48,38,1,3.44,US,2021-09-29 21:20:19
27,Victoria,22.2855,114.1577,85.96,88,2,1.01,HK,2021-09-29 21:20:30
28,Hasaki,35.7333,140.8333,63.28,80,100,6.62,JP,2021-09-29 21:20:34
29,Nhulunbuy,-12.2333,136.7667,77.61,83,61,10.36,AU,2021-09-29 21:20:34
30,Vaini,-21.2,-175.2,77.16,83,75,10.36,TO,2021-09-29 21:20:34
31,Port Elizabeth,-33.918,25.5701,57.49,77,90,10.36,ZA,2021-09-29 21:20:36
32,Punta Arenas,-53.15,-70.9167,50.11,43,0,18.41,CL,2021-09-29 21:17:44
33,Oltina,44.1667,27.6667,57.63,72,34,6.49,RO,2021-09-29 21:20:37
34,Jamestown,42.097,-79.2353,67.32,51,1,3.0,US,2021-09-29 21:17:57
35,La Ronge,55.1001,-105.2842,59.25,63,80,10.36,CA,2021-09-29 21:20:38
36,Albany,42.6001,-73.9662,61.3,66,94,5.97,US,2021-09-29 21:19:15
37,Pangkalanbuun,-2.6833,111.6167,75.34,97,98,1.9,ID,2021-09-29 21:20:38
38,Tiksi,71.6872,128.8694,30.58,83,100,4.16,RU,2021-09-29 21:20:38
39,Komsomolskiy,40.4272,71.7189,63.32,55,0,4.61,UZ,2021-09-29 21:20:39
40,Hilo,19.7297,-155.09,87.28,69,90,8.05,US,2021-09-29 21:18:28
41,San Patricio,28.017,-97.5169,86.72,57,8,13.58,US,2021-09-29 21:16:42
42,Mataura,-46.1927,168.8643,47.48,96,100,7.11,NZ,2021-09-29 21:20:39
43,Les Herbiers,46.8667,-1.0167,51.01,68,32,5.75,FR,2021-09-29 21:20:40
44,Margate,51.3813,1.3862,52.03,73,10,1.01,GB,2021-09-29 21:20:40
45,Kapaa,22.0752,-159.319,82.72,68,40,1.99,US,2021-09-29 21:20:40
46,Deniliquin,-35.5333,144.9667,57.0,97,90,7.78,AU,2021-09-29 21:20:41
47,Bredasdorp,-34.5322,20.0403,56.28,79,100,18.75,ZA,2021-09-29 21:17:58
48,Nsanje,-16.92,35.262,82.13,47,36,5.73,MW,2021-09-29 21:20:42
49,San Cristobal,7.7669,-72.225,73.58,86,85,3.18,VE,2021-09-29 21:17:56
50,Codrington,-38.2667,141.9667,53.44,96,100,22.88,AU,2021-09-29 21:20:44
51,Pozo Colorado,-23.4923,-58.7972,101.34,21,1,3.87,PY,2021-09-29 21:20:44
52,Lompoc,34.6391,-120.4579,84.09,61,1,12.66,US,2021-09-29 21:20:45
53,Taltal,-25.4,-70.4833,62.73,66,22,2.59,CL,2021-09-29 21:20:20
54,Leh,34.1667,77.5833,56.97,43,1,3.36,IN,2021-09-29 21:20:45
55,Stara Vyzhivka,51.4376,24.44,45.75,80,11,14.97,UA,2021-09-29 21:20:45
56,Flinders,-34.5833,150.8552,62.38,84,98,3.0,AU,2021-09-29 21:20:46
57,Castelo Do Piaui,-5.3222,-41.5525,91.65,23,91,2.17,BR,2021-09-29 21:20:49
58,Puerto Ayora,-0.7393,-90.3518,82.36,84,90,10.87,EC,2021-09-29 21:17:50
59,Raga,8.4596,25.678,71.92,90,100,3.22,SS,2021-09-29 21:20:49
60,Qaanaaq,77.484,-69.3632,16.77,79,1,7.74,GL,2021-09-29 21:17:52
61,Miracema Do Tocantins,-9.5618,-48.3967,87.75,43,75,3.62,BR,2021-09-29 21:20:50
62,Chuy,-33.6971,-53.4616,58.26,80,51,11.16,UY,2021-09-29 21:20:50
63,Muroto,33.2833,134.15,75.54,79,96,15.7,JP,2021-09-29 21:20:51
64,Kavaratti,10.5669,72.642,81.27,77,22,15.1,IN,2021-09-29 21:20:52
65,Bluff,-46.6,168.3333,47.8,61,85,19.82,NZ,2021-09-29 21:20:52
66,Catalina,32.5056,-110.9211,87.51,30,100,5.01,US,2021-09-29 21:20:53
67,Salamanca,40.8333,-6.0,61.63,56,48,5.97,ES,2021-09-29 21:20:53
68,Alice Springs,-23.7,133.8833,56.75,38,2,5.75,AU,2021-09-29 21:17:57
69,Dombarovskiy,50.7587,59.5386,38.84,82,100,11.5,RU,2021-09-29 21:20:53
70,Champerico,14.3,-91.9167,85.35,63,75,3.2,GT,2021-09-29 21:20:54
71,Isangel,-19.55,169.2667,75.31,69,56,10.36,VU,2021-09-29 21:20:42
72,Yellowknife,62.456,-114.3525,50.56,99,90,3.0,CA,2021-09-29 21:20:54
73,Elizabeth City,36.2946,-76.2511,75.4,67,75,11.5,US,2021-09-29 21:16:47
74,Mouzouras,35.5333,24.15,70.43,83,40,0.0,GR,2021-09-29 21:20:54
75,Carnduff,49.1667,-101.8009,66.38,37,68,11.74,CA,2021-09-29 21:20:55
76,Busselton,-33.65,115.3333,58.08,86,5,7.47,AU,2021-09-29 21:17:54
77,Bambanglipuro,-7.95,110.2833,58.6,89,99,4.25,ID,2021-09-29 21:20:47
78,Butaritari,3.0707,172.7902,81.52,79,98,17.05,KI,2021-09-29 21:20:55
79,Almirante Tamandare,-25.3247,-49.31,65.39,96,90,4.0,BR,2021-09-29 21:20:55
80,Iqaluit,63.7506,-68.5145,37.13,74,75,8.99,CA,2021-09-29 21:18:44
81,Cherskiy,68.75,161.3,24.28,94,89,11.61,RU,2021-09-29 21:20:56
82,Avarua,-21.2078,-159.775,78.85,78,74,11.5,CK,2021-09-29 21:19:42
83,Placerville,38.7296,-120.7986,79.41,27,1,1.99,US,2021-09-29 21:20:27
84,Kavieng,-2.5744,150.7967,81.77,81,97,13.0,PG,2021-09-29 21:20:57
85,Arman,59.7,150.1667,32.92,58,100,8.14,RU,2021-09-29 21:20:58
86,Yima,34.7381,111.8839,63.72,84,54,1.41,CN,2021-09-29 21:20:58
87,College,64.8569,-147.8028,29.86,81,90,3.44,US,2021-09-29 21:20:27
88,Tasiilaq,65.6145,-37.6368,39.36,67,11,7.54,GL,2021-09-29 21:20:59
89,Shelburne,44.0787,-80.2041,66.76,52,0,10.02,CA,2021-09-29 21:17:03
90,Carnarvon,-24.8667,113.6333,60.87,94,35,6.91,AU,2021-09-29 21:20:59
91,Aripuana,-9.1667,-60.6333,88.88,50,90,4.16,BR,2021-09-29 21:20:59
92,Dawei,14.0833,98.2,76.53,94,17,2.28,MM,2021-09-29 21:20:59
93,Port Hawkesbury,45.6169,-61.3485,57.87,99,90,1.99,CA,2021-09-29 21:21:01
94,Kalianget,-7.05,113.9333,80.44,79,58,5.91,ID,2021-09-29 21:21:01
95,Xai-Xai,-25.0519,33.6442,70.56,87,52,13.67,MZ,2021-09-29 21:21:02
96,Castro,-24.7911,-50.0119,72.5,66,16,5.21,BR,2021-09-29 21:21:02
97,Nikolskoye,59.7035,30.7861,46.29,88,57,3.44,RU,2021-09-29 21:21:02
98,Bajil,15.0584,43.2851,88.65,59,100,4.05,YE,2021-09-29 21:21:03
99,Kamina,-8.7386,24.9906,68.13,81,23,3.33,CD,2021-09-29 21:21:03
100,Hamilton,39.1834,-84.5333,84.65,48,1,1.01,US,2021-09-29 21:21:03
101,Bubaque,11.2833,-15.8333,81.66,72,100,9.13,GW,2021-09-29 21:21:04
102,Okha,53.5739,142.9478,55.81,96,100,9.19,RU,2021-09-29 21:21:04
103,Kabala,9.5833,-11.55,71.31,93,71,2.53,SL,2021-09-29 21:21:05
104,Kodiak,57.79,-152.4072,45.81,53,53,8.23,US,2021-09-29 21:19:24
105,Erzin,36.9559,36.2,74.12,85,64,0.96,TR,2021-09-29 21:19:55
106,Richards Bay,-28.783,32.0377,64.81,89,100,5.61,ZA,2021-09-29 21:21:05
107,Palembang,-2.9167,104.7458,74.55,95,100,3.69,ID,2021-09-29 21:21:05
108,Shieli,44.1667,66.75,54.1,52,56,10.76,KZ,2021-09-29 21:21:06
109,Kambove,-10.8764,26.5969,67.68,67,18,3.33,CD,2021-09-29 21:21:06
110,Georgetown,5.4112,100.3354,77.9,93,20,3.44,MY,2021-09-29 21:21:06
111,Sur,22.5667,59.5289,85.48,61,96,6.33,OM,2021-09-29 21:21:07
112,Mujiayingzi,42.1167,118.7833,52.59,75,52,4.12,CN,2021-09-29 21:21:09
113,Chon Daen,16.1895,100.8596,76.46,90,17,2.86,TH,2021-09-29 21:21:09
114,Hobart,-42.8794,147.3294,50.05,84,40,1.14,AU,2021-09-29 21:16:54
115,Peniche,39.3558,-9.3811,67.62,89,47,18.12,PT,2021-09-29 21:21:10
116,Bengkulu,-3.8004,102.2655,75.2,91,99,10.51,ID,2021-09-29 21:21:10
117,Nobres,-14.7203,-56.3275,97.66,27,13,6.29,BR,2021-09-29 21:21:11
118,Paragominas,-2.9667,-47.4833,79.95,70,99,4.59,BR,2021-09-29 21:21:11
119,Honiara,-9.4333,159.95,80.98,79,67,6.53,SB,2021-09-29 21:21:11
120,Lorengau,-2.0226,147.2712,80.83,82,71,3.78,PG,2021-09-29 21:17:47
121,Grand Gaube,-20.0064,57.6608,72.37,73,81,5.99,MU,2021-09-29 21:21:12
122,Zigong,29.3416,104.7769,72.12,85,25,1.1,CN,2021-09-29 21:21:12
123,Camacha,33.0833,-16.3333,69.22,60,75,14.97,PT,2021-09-29 21:21:12
124,Pechenga,69.5259,31.1703,47.26,90,14,7.72,RU,2021-09-29 21:21:12
125,Mao,39.8885,4.2658,66.76,82,0,8.05,ES,2021-09-29 21:21:13
126,Talnakh,69.4865,88.3972,31.93,95,100,15.03,RU,2021-09-29 21:19:40
127,Hithadhoo,-0.6,73.0833,80.83,76,100,2.71,MV,2021-09-29 21:18:04
128,Tonantins,-2.8731,-67.8022,78.93,92,97,0.69,BR,2021-09-29 21:21:13
129,Tateyama,34.9833,139.8667,71.1,72,100,5.61,JP,2021-09-29 21:21:13
130,Atar,20.5169,-13.0499,96.37,10,4,7.23,MR,2021-09-29 21:21:14
131,Aleksandrov Gay,50.147,48.5704,42.76,55,8,7.38,RU,2021-09-29 21:21:14
132,Hazorasp,41.3194,61.0742,53.44,50,0,13.96,UZ,2021-09-29 21:21:14
133,Nome,64.5011,-165.4064,36.16,80,75,12.66,US,2021-09-29 21:21:15
134,Akonolinga,3.7667,12.25,68.72,99,100,2.26,CM,2021-09-29 21:21:15
135,Port Keats,-14.25,129.55,79.27,81,80,5.77,AU,2021-09-29 21:21:15
136,Esperance,-33.8667,121.9,51.64,86,35,10.58,AU,2021-09-29 21:21:15
137,Kahului,20.8947,-156.47,87.82,68,40,20.71,US,2021-09-29 21:21:16
138,Alyangula,-13.8483,136.4192,69.67,100,40,2.3,AU,2021-09-29 21:21:16
139,Pangnirtung,66.1451,-65.7125,33.8,86,40,4.61,CA,2021-09-29 21:21:16
140,Esna,25.2934,32.554,80.71,28,0,16.31,EG,2021-09-29 21:21:17
141,Vardo,70.3705,31.1107,43.0,86,22,7.56,NO,2021-09-29 21:21:17
142,Bathsheba,13.2167,-59.5167,84.81,70,40,5.75,BB,2021-09-29 21:18:39
143,Marmaris,36.855,28.2742,77.11,51,0,6.04,TR,2021-09-29 21:21:17
144,Alugan,12.2188,125.4808,78.06,89,100,4.45,PH,2021-09-29 21:21:17
145,Namibe,-15.1961,12.1522,63.54,87,31,6.33,AO,2021-09-29 21:21:19
146,Geraldton,-28.7667,114.6,57.61,94,75,11.5,AU,2021-09-29 21:21:19
147,Makakilo City,21.3469,-158.0858,86.32,59,75,6.91,US,2021-09-29 21:21:19
148,Leningradskiy,69.3833,178.4167,27.21,96,100,10.63,RU,2021-09-29 21:21:20
149,Verkhnyaya Sysert,56.4372,60.75,24.6,82,84,4.03,RU,2021-09-29 21:21:20
150,Salalah,17.0151,54.0924,82.49,89,20,4.61,OM,2021-09-29 21:17:18
151,Vao,-22.6667,167.4833,69.53,77,93,22.3,NC,2021-09-29 21:21:20
152,Vallenar,-28.5708,-70.7581,82.06,16,15,7.09,CL,2021-09-29 21:21:20
153,Kurchum,48.5722,83.6542,51.8,53,100,1.34,KZ,2021-09-29 21:21:21
154,Ambulu,-8.345,113.6058,73.49,92,67,2.89,ID,2021-09-29 21:20:34
155,Dharchula,29.85,80.5333,66.38,87,1,3.38,IN,2021-09-29 21:21:21
156,Maumere,-8.6199,122.2111,77.45,81,55,3.67,ID,2021-09-29 21:21:21
157,Raxaul,26.9833,84.85,75.54,93,32,6.13,IN,2021-09-29 21:21:22
158,Half Moon Bay,37.4636,-122.4286,84.24,45,20,1.01,US,2021-09-29 21:18:47
159,Lebu,-37.6167,-73.65,50.72,87,100,12.44,CL,2021-09-29 21:21:22
160,Karla,59.3723,24.9275,48.56,86,90,6.91,EE,2021-09-29 21:21:23
161,Saskylakh,71.9167,114.0833,21.88,91,96,3.24,RU,2021-09-29 21:21:23
162,Bethel,41.3712,-73.414,66.11,59,75,6.91,US,2021-09-29 21:21:23
163,Inuvik,68.3499,-133.7218,32.76,80,75,9.22,CA,2021-09-29 21:21:24
164,Taybad,34.74,60.7756,67.17,30,0,13.71,IR,2021-09-29 21:21:24
165,Batagay-Alyta,67.8006,130.4114,16.93,91,98,2.98,RU,2021-09-29 21:21:24
166,Dingle,10.9995,122.6711,75.81,93,35,3.83,PH,2021-09-29 21:18:55
167,Dikson,73.5069,80.5464,33.03,98,100,16.49,RU,2021-09-29 21:21:24
168,Airai,-8.9266,125.4092,58.17,71,43,2.48,TL,2021-09-29 21:21:25
169,Vila Velha,-20.3297,-40.2925,75.94,83,20,16.11,BR,2021-09-29 21:16:37
170,Porto Belo,-27.1578,-48.5531,73.17,83,62,12.17,BR,2021-09-29 21:21:25
171,Narsaq,60.9167,-46.05,35.82,47,8,2.98,GL,2021-09-29 21:21:25
172,Cabo San Lucas,22.8909,-109.9124,93.61,66,6,5.91,MX,2021-09-29 21:21:26
173,Davila,18.4726,120.5763,79.81,79,95,6.6,PH,2021-09-29 21:21:26
174,Guerrero Negro,27.9769,-114.0611,73.53,59,0,18.66,MX,2021-09-29 21:21:27
175,Port Augusta,-32.5,137.7667,58.71,83,92,5.82,AU,2021-09-29 21:19:41
176,Coquimbo,-29.9533,-71.3436,58.73,77,0,11.5,CL,2021-09-29 21:21:27
177,Lethem,3.3803,-59.7968,86.0,59,100,3.09,GY,2021-09-29 21:21:28
178,Avera,33.194,-82.5271,87.75,36,0,2.53,US,2021-09-29 21:21:29
179,Mizdah,31.4451,12.9801,70.18,67,0,6.85,LY,2021-09-29 21:21:29
180,Inhambane,-23.865,35.3833,71.62,92,2,9.4,MZ,2021-09-29 21:21:29
181,Caravelas,-17.7125,-39.2481,74.07,82,0,8.93,BR,2021-09-29 21:19:38
182,Kharovsk,59.9642,40.1912,40.05,95,87,3.56,RU,2021-09-29 21:21:29
183,Yuncheng,35.0231,110.9928,66.11,77,80,3.18,CN,2021-09-29 21:21:30
184,Kaduna,10.5222,7.4383,72.07,87,100,2.13,NG,2021-09-29 21:19:00
185,Mahebourg,-20.4081,57.7,72.25,83,40,10.36,MU,2021-09-29 21:17:46
186,Riyadh,24.6877,46.7219,78.94,11,4,4.27,SA,2021-09-29 21:16:50
187,Husavik,66.0449,-17.3389,39.11,73,60,15.32,IS,2021-09-29 21:21:30
188,Massakory,12.996,15.7293,84.65,55,80,6.13,TD,2021-09-29 21:21:30
189,Lagoa,39.05,-27.9833,71.44,87,0,6.91,PT,2021-09-29 21:19:49
190,Daru,-9.0763,143.2092,78.13,89,76,15.41,PG,2021-09-29 21:21:31
191,Kralendijk,12.15,-68.2667,85.98,74,20,13.8,BQ,2021-09-29 21:21:31
192,Kenai,60.5544,-151.2583,45.09,56,1,8.05,US,2021-09-29 21:21:32
193,Ostrovnoy,68.0531,39.5131,43.54,92,57,9.01,RU,2021-09-29 21:21:32
194,Omama,36.4333,139.2833,68.83,88,93,1.21,JP,2021-09-29 21:21:32
195,Tendo,38.3536,140.3697,64.96,97,15,2.21,JP,2021-09-29 21:21:32
196,Souillac,-20.5167,57.5167,72.36,83,40,10.36,MU,2021-09-29 21:21:33
197,Khatanga,71.9667,102.5,30.33,96,100,13.67,RU,2021-09-29 21:21:33
198,Bundaberg,-24.85,152.35,72.21,77,99,5.99,AU,2021-09-29 21:21:33
